sin^2(theta_23)  dm32
0.44             2.11711304
0.43334209       2.1206    
0.43             2.12274822
0.42             2.13228199
0.41             2.1468987 
0.40530552       2.1566    
0.4              2.17068355
0.39357005       2.1926    
0.39             2.20763217
0.38588115       2.2286    
0.38156619       2.2646    
0.38             2.29665679
0.37983595       2.3006    
0.37944449       2.3366    
0.38             2.35782124
0.38048988       2.3726    
0.3840502        2.4086    
0.38969153       2.4446    
0.39             2.44613009
0.39873151       2.4806    
0.4              2.48459842
0.41             2.50956026
0.41369292       2.5166    
0.42             2.52641249
0.43             2.53763871
0.44             2.54608059
0.44913237       2.5526    
0.45             2.55316434
0.46             2.55773253
0.47             2.56034016
0.48             2.5628121 
0.49             2.56577826
0.5              2.56824706
0.51             2.57161196
0.52             2.57546128
0.53             2.5784574 
0.54             2.58082578
0.55             2.58175112
0.56             2.58172683
0.57             2.58176597
0.58             2.58087836
0.59             2.57722772
0.6              2.56761847
0.60957793       2.5526    
0.61             2.55189752
0.62             2.52959889
0.62416428       2.5166    
0.63             2.4918097 
0.63190133       2.4806    
0.63628225       2.4446    
0.63916729       2.4086    
0.64             2.38688413
0.64069491       2.3726    
0.64023788       2.3366    
0.64             2.33379916
0.63788229       2.3006    
0.63400572       2.2646    
0.63             2.24144019
0.6272333        2.2286    
0.62             2.20506764
0.6156737        2.1926    
0.61             2.17847711
0.6              2.15673364
0.59991845       2.1566    
0.59             2.143183  
0.58             2.13262354
0.57             2.12383023
0.56544326       2.1206    
0.56             2.11749833
0.55             2.11202491
0.54             2.10618126
0.53             2.10204982
0.52             2.10081819
0.51             2.1008072 
0.5              2.10061802
0.49             2.1006641 
0.48             2.10218151
0.47             2.10493746
0.46             2.10864004
0.45             2.11272767
0.44             2.11711304
