sin^{2}(2theta_{23})	|Delta m^{2}_{32}|	Delta chi^{2}
0.900	0.00200	15.71
0.900	0.00205	13.71
0.900	0.00210	11.90
0.900	0.00215	10.29
0.900	0.00220	8.89
0.900	0.00225	7.71
0.900	0.00230	6.74
0.900	0.00235	6.00
0.900	0.00240	5.49
0.900	0.00245	5.20
0.900	0.00250	5.14
0.900	0.00255	5.29
0.900	0.00260	5.66
0.900	0.00265	6.24
0.900	0.00270	7.01
0.900	0.00275	7.97
0.900	0.00280	9.11
0.900	0.00285	10.43
0.900	0.00290	11.92
0.900	0.00295	13.57
0.900	0.00300	15.38
0.905	0.00200	15.29
0.905	0.00205	13.29
0.905	0.00210	11.48
0.905	0.00215	9.87
0.905	0.00220	8.47
0.905	0.00225	7.28
0.905	0.00230	6.32
0.905	0.00235	5.58
0.905	0.00240	5.07
0.905	0.00245	4.79
0.905	0.00250	4.73
0.905	0.00255	4.89
0.905	0.00260	5.27
0.905	0.00265	5.84
0.905	0.00270	6.62
0.905	0.00275	7.58
0.905	0.00280	8.73
0.905	0.00285	10.05
0.905	0.00290	11.54
0.905	0.00295	13.20
0.905	0.00300	15.00
0.910	0.00200	14.87
0.910	0.00205	12.86
0.910	0.00210	11.05
0.910	0.00215	9.44
0.910	0.00220	8.05
0.910	0.00225	6.86
0.910	0.00230	5.90
0.910	0.00235	5.17
0.910	0.00240	4.67
0.910	0.00245	4.39
0.910	0.00250	4.34
0.910	0.00255	4.50
0.910	0.00260	4.88
0.910	0.00265	5.46
0.910	0.00270	6.24
0.910	0.00275	7.21
0.910	0.00280	8.36
0.910	0.00285	9.69
0.910	0.00290	11.18
0.910	0.00295	12.83
0.910	0.00300	14.64
0.915	0.00200	14.45
0.915	0.00205	12.45
0.915	0.00210	10.64
0.915	0.00215	9.03
0.915	0.00220	7.63
0.915	0.00225	6.46
0.915	0.00230	5.50
0.915	0.00235	4.77
0.915	0.00240	4.27
0.915	0.00245	4.00
0.915	0.00250	3.96
0.915	0.00255	4.13
0.915	0.00260	4.51
0.915	0.00265	5.10
0.915	0.00270	5.88
0.915	0.00275	6.85
0.915	0.00280	8.00
0.915	0.00285	9.33
0.915	0.00290	10.82
0.915	0.00295	12.48
0.915	0.00300	14.29
0.920	0.00200	14.04
0.920	0.00205	12.04
0.920	0.00210	10.23
0.920	0.00215	8.63
0.920	0.00220	7.23
0.920	0.00225	6.06
0.920	0.00230	5.11
0.920	0.00235	4.39
0.920	0.00240	3.89
0.920	0.00245	3.63
0.920	0.00250	3.59
0.920	0.00255	3.77
0.920	0.00260	4.15
0.920	0.00265	4.74
0.920	0.00270	5.53
0.920	0.00275	6.50
0.920	0.00280	7.66
0.920	0.00285	8.99
0.920	0.00290	10.48
