## ------------------------------------------------------------------------------------------------
## T2K Run 1-4 Numu-Disappearance Analysis -2dlnL Data ##
## Contents of this file include: 
##  (1) Profiled -2\Delta\lnL vs. \sin^{2}(\theta_{23}) Normal Hierarchy
##  (2) Profiled -2\Delta\lnL vs. \Delta{m}^{2}_{32} Normal Hierarchy
##  (3) Profiled -2\Delta\lnL vs. \sin^{2}(\theta_{23}) Inverted Hierarchy
##  (4) Profiled -2\Delta\lnL vs. \Delta{m}^{2}_{13} Inverted Hierarchy
##  (5) -2\Delta\lnL vs. (\sin^{2}(\theta_{23}), \Delta{m}^{2}_{32}) Normal Hierarchy
##  (6) -2\Delta\lnL vs. (\sin^{2}(\theta_{23}), \Delta{m}^{2}_{13}) Inverted Hierarchy
##  (7) 68% CL Feldman-Cousins Contours, Normal Hierarchy
##  (8) 90% CL Feldman-Cousins Contours, Normal Hierarchy
##  (9) 68% CL Feldman-Cousins Contours, Inverted Hierarchy
## (10) 90% CL Feldman-Cousins Contours, Inverted Hierarchy
## ------------------------------------------------------------------------------------------------
## (1) Profiled -2\Delta\lnL vs. \sin^{2}(\theta_{23}) Normal ##
## ------------------------------------------------------------------------------------------------
\sin^{2}(\theta_{23})	-2\Delta\lnL
0.3 	34.5175285437
0.301 	34.0808640104
0.302 	33.6471223091
0.303 	33.2163104922
0.304 	32.7886425533
0.305 	32.3635038853
0.306 	31.9416788622
0.307 	31.5224972246
0.308 	31.1064346832
0.309 	30.6933407437
0.31 	30.2832212381
0.311 	29.8760818153
0.312 	29.4719279411
0.313 	29.0707648999
0.314 	28.6726597597
0.315 	28.2774743103
0.316 	27.8852707841
0.317 	27.4961709489
0.318 	27.1099838973
0.319 	26.726940898
0.32 	26.3468422075
0.321 	25.9697465908
0.322 	25.5956936151
0.323 	25.2246568442
0.324 	24.8567175138
0.325 	24.4917989107
0.326 	24.1299926632
0.327 	23.7711172475
0.328 	23.415296508
0.329 	23.0625321848
0.33 	22.7128722206
0.331 	22.3662036477
0.332 	22.0226247298
0.333 	21.6821053914
0.334 	21.3445878976
0.335 	21.0101391991
0.336 	20.6787819369
0.337 	20.3504624416
0.338 	20.0252712182
0.339 	19.7030789832
0.34 	19.3839449362
0.341 	19.0678769214
0.342 	18.7549020173
0.343 	18.4448594512
0.344 	18.1379186812
0.345 	17.8340633237
0.346 	17.5331836104
0.347 	17.2354182972
0.348 	16.9406986309
0.349 	16.6490220391
0.35 	16.3603856978
0.351 	16.0747865246
0.352 	15.7923679576
0.353 	15.5128526961
0.354 	15.236331659
0.355 	14.9626907895
0.356 	14.6922221133
0.357 	14.424937111
0.358 	14.1603193671
0.359 	13.8988751593
0.36 	13.6404285141
0.361 	13.3849736752
0.362 	13.1326547842
0.363 	12.8831729671
0.364 	12.6366617145
0.365 	12.3929475377
0.366 	12.1523556278
0.367 	11.9147151002
0.368 	11.6800182202
0.369 	11.4482569621
0.37 	11.2194230098
0.371 	10.993507755
0.372 	10.7706845915
0.373 	10.5505832466
0.374 	10.3331836759
0.375 	10.1188512318
0.376 	9.90739001065
0.377 	9.69878962357
0.378 	9.493280032
0.379 	9.29012828084
0.38 	9.0900450447
0.381 	8.89298532677
0.382 	8.69852508804
0.383 	8.50685665099
0.384 	8.31796662852
0.385 	8.13184395162
0.386 	7.9482599215
0.387 	7.76789649811
0.388 	7.58999183753
0.389 	7.41479955855
0.39 	7.24204289782
0.391 	7.07223372506
0.392 	6.90535766638
0.393 	6.74085229278
0.394 	6.57900515779
0.395 	6.41977890844
0.396 	6.26311067374
0.397 	6.10887486925
0.398 	5.95767025993
0.399 	5.80877224316
0.4 	5.6624061661
0.401 	5.51829923021
0.402 	5.37695636548
0.403 	5.23834957832
0.404 	5.10195595321
0.405 	4.96776010492
0.406 	4.83649000339
0.407 	4.70713436952
0.408 	4.58062281729
0.409 	4.45624255842
0.41 	4.33426665779
0.411 	4.21439182781
0.412 	4.09702765459
0.413 	3.98195059954
0.414 	3.86913949063
0.415 	3.75875449777
0.416 	3.65040818094
0.417 	3.5442656607
0.418 	3.44029926989
0.419 	3.33848863979
0.42 	3.23882060208
0.421 	3.14125614271
0.422 	3.04577980645
0.423 	2.95236831051
0.424 	2.86099827986
0.425 	2.77164614635
0.426 	2.68428829968
0.427 	2.59889672139
0.428 	2.51545824875
0.429 	2.43393943432
0.43 	2.35432055757
0.431 	2.27660583901
0.432 	2.20066459871
0.433 	2.12657778314
0.434 	2.05429504905
0.435 	1.9837833523
0.436 	1.91503077121
0.437 	1.84803736962
0.438 	1.78267660437
0.439 	1.71887442951
0.44 	1.65702781066
0.441 	1.5965841295
0.442 	1.53778215432
0.443 	1.48055219396
0.444 	1.42475739324
0.445 	1.37070064319
0.446 	1.31802783505
0.447 	1.26687079948
0.448 	1.2170473348
0.449 	1.16876046572
0.45 	1.1218036416
0.451 	1.07621271407
0.452 	1.03196239466
0.453 	0.989027591498
0.454 	0.94737035853
0.455 	0.907000373265
0.456 	0.86786397791
0.457 	0.82993983051
0.458 	0.793206360567
0.459 	0.757639025868
0.46 	0.723170636757
0.461 	0.689894032197
0.462 	0.657690680449
0.463 	0.626545728859
0.464 	0.596447007604
0.465 	0.567370783567
0.466 	0.539293887897
0.467 	0.512193492127
0.468 	0.486047040558
0.469 	0.460831222571
0.47 	0.436524918554
0.471 	0.413106995054
0.472 	0.390553978835
0.473 	0.368845515382
0.474 	0.347960817396
0.475 	0.327879584754
0.476 	0.308580191763
0.477 	0.290044552298
0.478 	0.272252756402
0.479 	0.2551846455
0.48 	0.238822905407
0.481 	0.223148964072
0.482 	0.208144708272
0.483 	0.193822499478
0.484 	0.180030365197
0.485 	0.167005555353
0.486 	0.154509404165
0.487 	0.142599372378
0.488 	0.131257347133
0.489 	0.120481025383
0.49 	0.110254654632
0.491 	0.100557387573
0.492 	0.0913741452741
0.493 	0.0826940109012
0.494 	0.0745050108667
0.495 	0.0667809862973
0.496 	0.0595557825488
0.497 	0.0527738793553
0.498 	0.0464401758877
0.499 	0.0405454016181
0.5 	0.0350804952286
0.501 	0.0299769613298
0.502 	0.0253470578259
0.503 	0.021123730133
0.504 	0.0173003409757
0.505 	0.0138708316267
0.506 	0.0108297256088
0.507 	0.00817213161895
0.508 	0.00589374672336
0.509 	0.00399085869276
0.51 	0.00246034820157
0.511 	0.00129969064733
0.512 	0.000506957624339
0.513 	8.08179065643e-05
0.513665177218 	0.0
0.514 	2.0538785293e-05
0.515 	0.000325985603922
0.516 	0.000997622423483
0.517 	0.00203651158813
0.518 	0.00344431306098
0.519 	0.00522328348234
0.52 	0.0073762747727
0.521 	0.0099067324536
0.522 	0.012818693592
0.523 	0.0161167844001
0.524 	0.0198062175064
0.525 	0.0238927888422
0.526 	0.0283828741506
0.527 	0.0332834254516
0.528 	0.0386019666053
0.529 	0.0443465890332
0.53 	0.0505259469285
0.531 	0.0571492521642
0.532 	0.0642262686088
0.533 	0.071767306745
0.534 	0.0797832167507
0.535 	0.0882853848093
0.536 	0.0972857246977
0.537 	0.10679666685
0.538 	0.116831157532
0.539 	0.127402647337
0.54 	0.138525085957
0.541 	0.150212911295
0.542 	0.162481042854
0.543 	0.175344863604
0.544 	0.188820247723
0.545 	0.202923497606
0.546 	0.217671368432
0.547 	0.233081051145
0.548 	0.249170162353
0.549 	0.265956734558
0.55 	0.283459205725
0.551 	0.30169641013
0.552 	0.320687562209
0.553 	0.340452255004
0.554 	0.36101044178
0.555 	0.382382426526
0.556 	0.404588857697
0.557 	0.427650707383
0.558 	0.451589268222
0.559 	0.47642613541
0.56 	0.502183202647
0.561 	0.528882643816
0.562 	0.556546903229
0.563 	0.585198681329
0.564 	0.614860928356
0.565 	0.645556834436
0.566 	0.677309794586
0.567 	0.710143427662
0.568 	0.744081546788
0.569 	0.779148150409
0.57 	0.815367406558
0.571 	0.852763661495
0.572 	0.891484362788
0.573 	0.931306318871
0.574 	0.972386405766
0.575 	1.01474329736
0.576 	1.05826118525
0.577 	1.10323788009
0.578 	1.14956539783
0.579 	1.19726892711
0.58 	1.24637369598
0.581 	1.29690503998
0.582 	1.34888822441
0.583 	1.40234858459
0.584 	1.45731154767
0.585 	1.51380233421
0.586 	1.57201914507
0.587 	1.63164130069
0.588 	1.69280589307
0.589 	1.75566348666
0.59 	1.82017428548
0.591 	1.88636458113
0.592 	1.95426021172
0.593 	2.02395342135
0.594 	2.09530869421
0.595 	2.16847440615
0.596 	2.24343487162
0.597 	2.32020672581
0.598 	2.3988517282
0.599 	2.47938678985
0.6 	2.56180391763
0.601 	2.64614000112
0.602 	2.73242198509
0.603 	2.82050728755
0.604 	2.91094413817
0.605 	3.00304090932
0.606 	3.09735891759
0.607 	3.19392111126
0.608 	3.29240919134
0.609 	3.39294569766
0.61 	3.49568080717
0.611 	3.60053305537
0.612 	3.70758461457
0.613 	3.81682157392
0.614 	3.92830660048
0.615 	4.04200507475
0.616 	4.15796383307
0.617 	4.27620419543
0.618 	4.39674514703
0.619 	4.51960662662
0.62 	4.64476841524
0.621 	4.77242102251
0.622 	4.9023643998
0.623 	5.03470685086
0.624 	5.16946682754
0.625 	5.30640641163
0.626 	5.44605565307
0.627 	5.58817675669
0.628 	5.73296378678
0.629 	5.8800813904
0.63 	6.02954501359
0.631 	6.18172593687
0.632 	6.33663975282
0.633 	6.49394952079
0.634 	6.65393745419
0.635 	6.81643988045
0.636 	6.98147126048
0.637 	7.14905201195
0.638 	7.3196477816
0.639 	7.49271794919
0.64 	7.66846191827
0.641 	7.84689630879
0.642 	8.02803460676
0.643 	8.2118888589
0.644 	8.39827610686
0.645 	8.58760197432
0.646 	8.77968194311
0.647 	8.97452785086
0.648 	9.17215123499
0.649 	9.37256333084
0.65 	9.57577508311
0.651 	9.78179711064
0.652 	9.99063975833
